non_iid,data_num,cotta,no_adaptation,note,sar,tent
0.01,3,21,73,81,26,26
0.01,6,19,62,80,24,24
0.01,9,18,55,71,22,22
0.01,12,18,54,67,20,19
0.01,15,18,53,62,19,19
0.03,3,21,73,82,27,26
0.03,6,19,62,80,24,24
0.03,9,18,55,71,21,21
0.03,12,18,54,68,20,20
0.03,15,17,53,61,20,20
0.09,3,21,73,81,27,27
0.09,6,20,62,80,24,24
0.09,9,19,55,73,22,22
0.09,12,17,54,66,21,22
0.09,15,17,53,63,20,19
0.27,3,22,73,81,28,28
0.27,6,20,62,81,25,25
0.27,9,19,55,74,23,22
0.27,12,18,54,70,22,21
0.27,15,18,53,65,20,20
0.81,3,23,73,82,29,29
0.81,6,20,62,82,25,25
0.81,9,19,55,74,23,23
0.81,12,18,54,72,21,21
0.81,15,18,53,68,20,20
1.0,3,23,73,82,29,29
1.0,6,20,62,82,25,25
1.0,9,19,55,75,23,23
1.0,12,18,54,71,22,21
1.0,15,18,53,68,20,20
